pitch,angle,speed,spin,run,frame,src_frame,total,spread,meanSignal,fovea_total,mid_total,far_total,delta_total,corr_prev,PC1,PC2,PC3,PC4,PC5
cb,0deg,speed+3,spin+500,run36,73,106,1015718.31655408,156.108779110536,265.75570815125,5547.18050270005,0,1010171.13605138,50026.5929173424,0.861085993568852,9550.61006225546,-2222.13280109598,-3449.44900141135,4375.30252914802,-1361.0935670265
cb,0deg,speed+3,spin+500,run36,74,107,1037908.5091628,153.439825063741,271.561619351858,5676.30032033985,0,1032232.20884246,22190.1926087216,0.953740973766649,9777.36859274583,-3209.61167076964,-2336.44737988837,4220.33133749718,-2482.12218853065
cb,0deg,speed+3,spin+500,run36,75,109,1079242.23919573,148.565343035034,282.37630538873,6256.59963009638,0,1072985.63956563,41333.7300329271,0.840648399223071,10266.0438648536,-4705.10026733155,286.057614921978,2704.45574876652,-3123.02189193926
cb,0deg,speed+3,spin+500,run36,76,110,1098682.57883573,146.042310826208,287.4627364824,6495.8699256331,0,1092186.7089101,19440.3396400048,0.950464742235014,10522.2704022152,-5167.91431120374,1573.81219181304,1552.61137458689,-2628.50605959333
cb,0deg,speed+3,spin+500,run36,77,112,1134240.78182961,142.98485225204,296.766295612143,6410.91900047314,0,1127829.86282914,35558.2029938782,0.837889281482857,10966.2399103853,-5701.95460831877,3524.24152123481,-925.780375056069,-630.520161495939
cb,0deg,speed+3,spin+500,run36,78,113,1146190.35240492,143.824812178483,299.892818525621,6280.75653390183,0,1139909.59587102,11949.5705753132,0.955906504930778,11142.2538873557,-5862.18810921344,4122.91858097623,-1994.63057491936,599.49536780602
cb,0deg,speed+3,spin+500,run36,79,115,1167053.31003721,159.628280262133,305.351467827633,5992.55282736611,0,1161060.75720985,20862.9576322921,0.897844496483017,11443.4669002882,-6042.6442255328,4654.13945552453,-3134.55690286274,2238.76674608173
cb,0deg,speed+3,spin+500,run36,80,116,1173601.72788979,167.738870289595,307.064816297696,6000.31432733161,0,1167601.41356246,6548.41785257868,0.987760619237588,11534.9221728623,-6079.36496825531,4713.31630062675,-3302.42719587827,2557.9976138934
cb,0deg,speed+3,spin-500,run29,1,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,NaN,NaN,-3.97773480762161e-12,0,-0,0,-0
cb,0deg,speed+3,spin-500,run29,2,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762162e-12,3.50701936699114e-27,1.50154659303915e-28,-3.36469691933502e-43,1.39401499432453e-42
cb,0deg,speed+3,spin-500,run29,3,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-8.15451580657822e-29,8.52517901189469e-28,1.95032068420514e-27,-1.9187076566337e-27
cb,0deg,speed+3,spin-500,run29,4,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-1.48495931175912e-27,-2.8727497007103e-27
cb,0deg,speed+3,spin-500,run29,5,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436819e-28,4.01745256198738e-28,9.11720249904219e-30
cb,0deg,speed+3,spin-500,run29,6,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436819e-28,3.70858934260187e-28,-6.30321152850683e-29
cb,0deg,speed+3,spin-500,run29,7,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-8.15451580657817e-29,8.52517901189472e-28,-1.50024668015782e-28,1.4759289666413e-28
cb,0deg,speed+3,spin-500,run29,8,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.21164223250436e-28,7.90938480830214e-29
cb,0deg,speed+3,spin-500,run29,9,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436819e-28,4.3263157813729e-28,8.12665202831526e-29
cb,0deg,speed+3,spin-500,run29,10,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.21164223250436e-28,7.90938480830214e-29
cb,0deg,speed+3,spin-500,run29,11,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436819e-28,4.01745256198738e-28,9.11720249904239e-30
cb,0deg,speed+3,spin-500,run29,12,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.52050545188987e-28,6.94453029891085e-30
cb,0deg,speed+3,spin-500,run29,13,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.21164223250436e-28,7.90938480830214e-29
cb,0deg,speed+3,spin-500,run29,14,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436819e-28,4.3263157813729e-28,8.12665202831526e-29
cb,0deg,speed+3,spin-500,run29,15,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.52050545188987e-28,6.94453029891085e-30
cb,0deg,speed+3,spin-500,run29,16,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.21164223250436e-28,7.90938480830214e-29
cb,0deg,speed+3,spin-500,run29,17,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.21164223250436e-28,7.90938480830214e-29
